,Helipad_number,FAA_index,latitude,longitude,zoom,groundtruth,category,minX,minY,maxX,maxY,url
643,635,2325,38.19075,-120.66916666666668,20,True,2,187,221,405,432,"http://maps.googleapis.com/maps/api/staticmap?center=38.19075,-120.66916666666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
644,636,2327,35.95638888888889,-120.86944444444444,20,True,unknown,97,245,344,491,"http://maps.googleapis.com/maps/api/staticmap?center=35.95638888888889,-120.86944444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
645,637,2328,34.10308888888889,-117.27184166666666,20,True,3,214,157,360,289,"http://maps.googleapis.com/maps/api/staticmap?center=34.10308888888889,-117.27184166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
646,637,2328,34.10308888888889,-117.27184166666666,20,True,3,231,321,373,470,"http://maps.googleapis.com/maps/api/staticmap?center=34.10308888888889,-117.27184166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
647,638,2330,34.104747222222215,-117.35169166666668,20,True,9,209,204,446,437,"http://maps.googleapis.com/maps/api/staticmap?center=34.104747222222215,-117.35169166666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
648,639,2331,34.286430555555555,-119.1706527777778,20,True,9,174,193,419,414,"http://maps.googleapis.com/maps/api/staticmap?center=34.286430555555555,-119.1706527777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
649,640,2333,33.379472222222226,-117.55977777777777,20,True,9,160,158,404,370,"http://maps.googleapis.com/maps/api/staticmap?center=33.379472222222226,-117.55977777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
650,641,2336,32.72021111111111,-117.09737222222222,20,True,3,225,210,432,429,"http://maps.googleapis.com/maps/api/staticmap?center=32.72021111111111,-117.09737222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
651,642,2340,32.89621666666667,-117.19599444444445,20,True,8,376,170,535,341,"http://maps.googleapis.com/maps/api/staticmap?center=32.89621666666667,-117.19599444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
652,643,2341,32.79868333333333,-117.15183333333334,20,True,6,200,202,428,422,"http://maps.googleapis.com/maps/api/staticmap?center=32.79868333333333,-117.15183333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
653,644,2343,32.715333333333334,-117.15055555555556,20,True,other,22,338,201,514,"http://maps.googleapis.com/maps/api/staticmap?center=32.715333333333334,-117.15055555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
654,645,2344,32.75125,-117.16059166666668,20,True,1,230,240,354,369,"http://maps.googleapis.com/maps/api/staticmap?center=32.75125,-117.16059166666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
655,646,2345,32.79940277777778,-117.15347222222223,20,True,2,266,253,387,362,"http://maps.googleapis.com/maps/api/staticmap?center=32.79940277777778,-117.15347222222223&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
656,647,2347,32.72501944444445,-117.14429166666667,20,True,1,213,180,430,412,"http://maps.googleapis.com/maps/api/staticmap?center=32.72501944444445,-117.14429166666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
657,648,2348,32.75413611111111,-117.16548888888887,20,True,6,218,220,363,375,"http://maps.googleapis.com/maps/api/staticmap?center=32.75413611111111,-117.16548888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
658,649,2350,34.104669444444454,-117.799725,20,True,9,269,271,369,385,"http://maps.googleapis.com/maps/api/staticmap?center=34.104669444444454,-117.799725&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
659,650,2351,34.28013055555555,-118.4612,20,True,1,218,225,421,414,"http://maps.googleapis.com/maps/api/staticmap?center=34.28013055555555,-118.4612&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
660,651,2352,34.31292222222222,-118.47443055555556,20,True,9,260,248,398,366,"http://maps.googleapis.com/maps/api/staticmap?center=34.31292222222222,-118.47443055555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
661,652,2353,37.825922222222225,-122.42146944444444,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=37.825922222222225,-122.42146944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
662,653,2354,37.77509166666667,-122.40427777777779,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=37.77509166666667,-122.40427777777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
663,654,2355,37.719972222222225,-122.49913611111113,20,True,3,259,263,369,360,"http://maps.googleapis.com/maps/api/staticmap?center=37.719972222222225,-122.49913611111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
664,655,2357,37.78351944444445,-122.50678888888888,20,True,2,249,201,420,380,"http://maps.googleapis.com/maps/api/staticmap?center=37.78351944444445,-122.50678888888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
665,656,2358,37.765775,-122.39035833333334,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=37.765775,-122.39035833333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
666,657,2360,37.31325555555555,-121.93435555555556,20,True,1,294,228,453,389,"http://maps.googleapis.com/maps/api/staticmap?center=37.31325555555555,-121.93435555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
667,658,2362,37.361447222222225,-121.84844444444445,20,True,1,159,201,390,420,"http://maps.googleapis.com/maps/api/staticmap?center=37.361447222222225,-121.84844444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
668,659,2365,35.29388888888889,-120.66611111111112,20,True,1,276,376,475,587,"http://maps.googleapis.com/maps/api/staticmap?center=35.29388888888889,-120.66611111111112&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
669,660,2366,33.14217777777777,-117.14553888888891,20,True,7,270,269,361,369,"http://maps.googleapis.com/maps/api/staticmap?center=33.14217777777777,-117.14553888888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
670,661,2369,33.748719444444454,-118.27506944444444,20,True,4,73,148,249,342,"http://maps.googleapis.com/maps/api/staticmap?center=33.748719444444454,-118.27506944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
671,661,2369,33.748719444444454,-118.27506944444444,20,True,4,226,206,420,400,"http://maps.googleapis.com/maps/api/staticmap?center=33.748719444444454,-118.27506944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
672,661,2369,33.748719444444454,-118.27506944444444,20,True,4,374,260,561,462,"http://maps.googleapis.com/maps/api/staticmap?center=33.748719444444454,-118.27506944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
673,662,2370,33.732101944444445,-118.27604305555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=33.732101944444445,-118.27604305555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
674,663,2372,37.94725,-122.4880472222222,20,True,3,180,195,408,425,"http://maps.googleapis.com/maps/api/staticmap?center=37.94725,-122.4880472222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
675,664,2374,36.73236111111111,-119.55444444444444,20,True,3,225,268,332,376,"http://maps.googleapis.com/maps/api/staticmap?center=36.73236111111111,-119.55444444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
676,665,2375,33.727941666666666,-117.83579166666668,20,True,4,273,260,362,348,"http://maps.googleapis.com/maps/api/staticmap?center=33.727941666666666,-117.83579166666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
677,666,2377,33.74765277777778,-117.87738055555555,20,True,4,210,216,353,340,"http://maps.googleapis.com/maps/api/staticmap?center=33.74765277777778,-117.87738055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
678,667,2378,33.75491666666667,-117.83275,20,True,1,225,211,417,396,"http://maps.googleapis.com/maps/api/staticmap?center=33.75491666666667,-117.83275&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
679,668,2379,33.730725,-117.84735555555555,20,True,9,227,221,434,431,"http://maps.googleapis.com/maps/api/staticmap?center=33.730725,-117.84735555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
680,670,2382,34.42981666666667,-119.72407777777778,20,True,1,218,220,395,396,"http://maps.googleapis.com/maps/api/staticmap?center=34.42981666666667,-119.72407777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
681,671,2384,37.38549611111111,-121.97245888888891,20,True,3,119,228,276,366,"http://maps.googleapis.com/maps/api/staticmap?center=37.38549611111111,-121.97245888888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
682,672,2386,36.990652777777775,-121.98246666666668,20,True,2,206,197,422,425,"http://maps.googleapis.com/maps/api/staticmap?center=36.990652777777775,-121.98246666666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
683,673,2388,34.95051944444445,-120.41157777777778,20,True,1,221,229,379,382,"http://maps.googleapis.com/maps/api/staticmap?center=34.95051944444445,-120.41157777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
684,674,2389,34.46915333333334,-120.6818375,20,True,0,209,58,440,276,"http://maps.googleapis.com/maps/api/staticmap?center=34.46915333333334,-120.6818375&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
685,675,2390,34.45568055555556,-120.64769722222223,20,True,unknown,185,182,447,452,"http://maps.googleapis.com/maps/api/staticmap?center=34.45568055555556,-120.64769722222223&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
686,677,2397,38.44358055555555,-122.70126388888887,20,True,1,205,211,403,414,"http://maps.googleapis.com/maps/api/staticmap?center=38.44358055555555,-122.70126388888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
687,678,2403,34.566330555555545,-118.47626944444444,20,True,3,240,252,377,370,"http://maps.googleapis.com/maps/api/staticmap?center=34.566330555555545,-118.47626944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
688,679,2404,37.878555555555565,-122.51287777777777,20,True,4,344,280,441,370,"http://maps.googleapis.com/maps/api/staticmap?center=37.878555555555565,-122.51287777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
689,679,2404,37.878555555555565,-122.51287777777777,20,True,4,178,278,293,426,"http://maps.googleapis.com/maps/api/staticmap?center=37.878555555555565,-122.51287777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
690,680,2412,37.163725,-119.29163888888887,20,True,9,253,256,368,378,"http://maps.googleapis.com/maps/api/staticmap?center=37.163725,-119.29163888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
691,681,2413,37.117194444444436,-119.31327777777777,20,True,9,195,231,315,359,"http://maps.googleapis.com/maps/api/staticmap?center=37.117194444444436,-119.31327777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
692,682,2415,34.15992777777777,-118.44950555555555,20,True,1,242,239,404,406,"http://maps.googleapis.com/maps/api/staticmap?center=34.15992777777777,-118.44950555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
693,683,2418,34.28185555555555,-118.65503888888891,20,True,4,258,257,357,356,"http://maps.googleapis.com/maps/api/staticmap?center=34.28185555555555,-118.65503888888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
694,684,2419,34.28918888888889,-118.74600833333334,20,True,2,258,255,393,389,"http://maps.googleapis.com/maps/api/staticmap?center=34.28918888888889,-118.74600833333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
695,685,2422,36.46822222222223,-121.38011111111109,20,True,8,229,224,422,409,"http://maps.googleapis.com/maps/api/staticmap?center=36.46822222222223,-121.38011111111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
696,686,2423,38.15505,-122.45070277777779,20,True,5,261,256,379,381,"http://maps.googleapis.com/maps/api/staticmap?center=38.15505,-122.45070277777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
697,687,2424,38.158227777777775,-122.45633611111113,20,True,2,259,227,382,356,"http://maps.googleapis.com/maps/api/staticmap?center=38.158227777777775,-122.45633611111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
698,688,2426,33.561402777777765,-117.71533611111113,20,True,4,149,223,467,408,"http://maps.googleapis.com/maps/api/staticmap?center=33.561402777777765,-117.71533611111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
699,689,2427,38.911277777777784,-119.99686111111113,20,True,1,206,220,360,368,"http://maps.googleapis.com/maps/api/staticmap?center=38.911277777777784,-119.99686111111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
700,690,2430,38.5485,-122.51073055555555,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=38.5485,-122.51073055555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
701,691,2431,38.54333333333333,-122.475,20,True,2,249,192,424,380,"http://maps.googleapis.com/maps/api/staticmap?center=38.54333333333333,-122.475&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
702,692,2432,38.04764444444445,-121.37019166666666,20,True,7,117,250,263,378,"http://maps.googleapis.com/maps/api/staticmap?center=38.04764444444445,-121.37019166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
703,693,2436,37.88785277777778,-121.28268611111109,20,True,2,214,231,386,403,"http://maps.googleapis.com/maps/api/staticmap?center=37.88785277777778,-121.28268611111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
704,694,2437,37.970197222222225,-121.28786111111113,20,True,1,265,260,400,378,"http://maps.googleapis.com/maps/api/staticmap?center=37.970197222222225,-121.28786111111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
705,695,2445,34.289445555555545,-118.28813249999999,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=34.289445555555545,-118.28813249999999&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
706,696,2446,40.43749444444444,-120.62872222222221,20,True,2,218,230,391,409,"http://maps.googleapis.com/maps/api/staticmap?center=40.43749444444444,-120.62872222222221&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
707,697,2449,34.32683055555556,-118.44504444444445,20,True,1,240,245,422,417,"http://maps.googleapis.com/maps/api/staticmap?center=34.32683055555556,-118.44504444444445&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
708,698,2451,40.036588888888886,-120.763475,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=40.036588888888886,-120.763475&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
709,699,2455,33.499700000000004,-117.04132222222222,20,True,4,256,250,381,370,"http://maps.googleapis.com/maps/api/staticmap?center=33.499700000000004,-117.04132222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
710,700,2456,33.48020833333334,-117.10798888888887,20,True,2,255,231,398,389,"http://maps.googleapis.com/maps/api/staticmap?center=33.48020833333334,-117.10798888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
711,701,2457,35.55603333333333,-120.71901388888891,20,True,1,216,235,377,394,"http://maps.googleapis.com/maps/api/staticmap?center=35.55603333333333,-120.71901388888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
712,702,2460,33.63937777777777,-116.15302777777778,20,True,9,190,198,446,460,"http://maps.googleapis.com/maps/api/staticmap?center=33.63937777777777,-116.15302777777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
713,703,2461,34.246972222222226,-118.83558888888888,20,True,3,244,258,394,393,"http://maps.googleapis.com/maps/api/staticmap?center=34.246972222222226,-118.83558888888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
714,704,2462,34.083600000000004,-118.86320277777777,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=34.083600000000004,-118.86320277777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
715,705,2463,34.206830555555555,-118.883075,20,True,1,227,244,402,399,"http://maps.googleapis.com/maps/api/staticmap?center=34.206830555555555,-118.883075&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
716,706,2464,36.48695277777778,-118.84000555555555,20,True,3,125,211,228,319,"http://maps.googleapis.com/maps/api/staticmap?center=36.48695277777778,-118.84000555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
717,706,2464,36.48695277777778,-118.84000555555555,20,True,3,391,295,495,401,"http://maps.googleapis.com/maps/api/staticmap?center=36.48695277777778,-118.84000555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
718,707,2465,33.85652777777778,-118.31267222222222,20,True,7,212,223,418,413,"http://maps.googleapis.com/maps/api/staticmap?center=33.85652777777778,-118.31267222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
719,708,2472,39.324111111111115,-120.20025,20,True,2,229,210,393,364,"http://maps.googleapis.com/maps/api/staticmap?center=39.324111111111115,-120.20025&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
720,709,2475,36.18299444444444,-119.33351111111112,20,True,9,183,216,388,417,"http://maps.googleapis.com/maps/api/staticmap?center=36.18299444444444,-119.33351111111112&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
721,710,2477,37.51259444444445,-120.83925,20,True,1,233,259,393,404,"http://maps.googleapis.com/maps/api/staticmap?center=37.51259444444445,-120.83925&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
722,711,2486,39.152652777777774,-123.20345,20,True,1,240,256,407,397,"http://maps.googleapis.com/maps/api/staticmap?center=39.152652777777774,-123.20345&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
723,712,2488,34.102722222222226,-117.63616111111112,20,True,2,196,218,346,372,"http://maps.googleapis.com/maps/api/staticmap?center=34.102722222222226,-117.63616111111112&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
724,713,2491,38.38875,-121.94041666666666,20,True,2,170,241,351,443,"http://maps.googleapis.com/maps/api/staticmap?center=38.38875,-121.94041666666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
725,714,2493,38.355325,-121.95115277777779,20,True,2,213,247,366,392,"http://maps.googleapis.com/maps/api/staticmap?center=38.355325,-121.95115277777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
726,715,2494,34.41572222222222,-118.55136111111109,20,True,3,207,208,385,380,"http://maps.googleapis.com/maps/api/staticmap?center=34.41572222222222,-118.55136111111109&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
727,716,2495,34.463527777777784,-118.60963888888888,20,True,3,130,258,282,411,"http://maps.googleapis.com/maps/api/staticmap?center=34.463527777777784,-118.60963888888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
728,716,2495,34.463527777777784,-118.60963888888888,20,True,3,343,180,510,347,"http://maps.googleapis.com/maps/api/staticmap?center=34.463527777777784,-118.60963888888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
729,717,2497,33.23400833333333,-116.96863333333332,20,True,4,238,240,374,374,"http://maps.googleapis.com/maps/api/staticmap?center=33.23400833333333,-116.96863333333332&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
730,718,2498,34.035,-118.26633055555556,20,True,1,280,115,537,378,"http://maps.googleapis.com/maps/api/staticmap?center=34.035,-118.26633055555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
731,719,2500,34.27469444444444,-119.25921666666666,20,True,1,191,236,424,432,"http://maps.googleapis.com/maps/api/staticmap?center=34.27469444444444,-119.25921666666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
732,720,2502,34.471747222222234,-117.29681388888888,20,True,1,247,350,423,533,"http://maps.googleapis.com/maps/api/staticmap?center=34.471747222222234,-117.29681388888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
733,721,2504,34.47655555555556,-117.28840555555556,20,True,9,177,198,404,430,"http://maps.googleapis.com/maps/api/staticmap?center=34.47655555555556,-117.28840555555556&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
734,722,2506,34.52777777777778,-117.29277777777777,20,True,1,245,233,425,423,"http://maps.googleapis.com/maps/api/staticmap?center=34.52777777777778,-117.29277777777777&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
735,723,2508,36.44321111111111,-119.316075,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=36.44321111111111,-119.316075&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
736,724,2511,37.912777777777784,-122.04166666666669,20,True,1,101,170,288,341,"http://maps.googleapis.com/maps/api/staticmap?center=37.912777777777784,-122.04166666666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
737,725,2515,36.970413888888885,-121.86246944444444,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=36.970413888888885,-121.86246944444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
738,726,2517,36.925191666666656,-121.792675,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=36.925191666666656,-121.792675&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
739,727,2521,34.08459166666667,-118.38349722222223,20,True,0,262,216,434,383,"http://maps.googleapis.com/maps/api/staticmap?center=34.08459166666667,-118.38349722222223&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
740,728,2522,34.04972222222222,-118.45611111111113,20,True,2,127,182,273,319,"http://maps.googleapis.com/maps/api/staticmap?center=34.04972222222222,-118.45611111111113&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
741,729,2523,38.59258611111111,-121.54681666666669,20,True,other,254,252,391,381,"http://maps.googleapis.com/maps/api/staticmap?center=38.59258611111111,-121.54681666666669&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
742,730,2525,33.74539166666667,-118.00021388888891,20,True,9,197,231,384,418,"http://maps.googleapis.com/maps/api/staticmap?center=33.74539166666667,-118.00021388888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
743,731,2527,33.97151944444445,-118.04963888888891,20,True,1,204,213,434,420,"http://maps.googleapis.com/maps/api/staticmap?center=33.97151944444445,-118.04963888888891&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
744,732,2528,33.592555555555556,-117.23716666666668,20,True,1,194,219,389,415,"http://maps.googleapis.com/maps/api/staticmap?center=33.592555555555556,-117.23716666666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
745,733,2532,39.38909722222222,-123.3392972222222,20,True,2,249,210,411,369,"http://maps.googleapis.com/maps/api/staticmap?center=39.38909722222222,-123.3392972222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
746,734,2537,38.666027777777785,-121.82421388888888,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=38.666027777777785,-121.82421388888888&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
747,735,2540,34.178311111111114,-118.60022777777776,20,True,7,454,291,624,468,"http://maps.googleapis.com/maps/api/staticmap?center=34.178311111111114,-118.60022777777776&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
748,736,2542,34.86898055555556,-116.83203611111112,20,True,9,162,155,471,485,"http://maps.googleapis.com/maps/api/staticmap?center=34.86898055555556,-116.83203611111112&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
749,737,2548,34.124897222222216,-116.41360277777778,20,True,9,143,156,498,475,"http://maps.googleapis.com/maps/api/staticmap?center=34.124897222222216,-116.41360277777778&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
750,738,2558,39.18993055555556,-106.83904166666666,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=39.18993055555556,-106.83904166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
751,739,2560,39.177209444444436,-106.85615166666666,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=39.177209444444436,-106.85615166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
752,740,2561,39.72733333333333,-104.82669722222221,20,True,1,249,252,394,389,"http://maps.googleapis.com/maps/api/staticmap?center=39.72733333333333,-104.82669722222221&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
753,741,2563,39.7425,-104.83568333333334,20,True,1,224,247,407,436,"http://maps.googleapis.com/maps/api/staticmap?center=39.7425,-104.83568333333334&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
754,742,2564,39.57916666666667,-104.72565555555555,20,True,2,190,190,394,384,"http://maps.googleapis.com/maps/api/staticmap?center=39.57916666666667,-104.72565555555555&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
755,743,2566,39.60333333333333,-104.71166666666667,20,True,2,98,195,288,386,"http://maps.googleapis.com/maps/api/staticmap?center=39.60333333333333,-104.71166666666667&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
756,744,2567,39.6882,-104.83165833333332,20,True,1,243,257,384,388,"http://maps.googleapis.com/maps/api/staticmap?center=39.6882,-104.83165833333332&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
757,745,2570,39.64359638888889,-106.84781777777779,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=39.64359638888889,-106.84781777777779&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
758,746,2581,39.76943111111111,-105.85112166666666,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=39.76943111111111,-105.85112166666666&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
759,747,2583,39.79388888888889,-105.49444444444444,20,True,9,368,173,636,574,"http://maps.googleapis.com/maps/api/staticmap?center=39.79388888888889,-105.49444444444444&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
760,748,2588,40.066374166666655,-105.20609888888887,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=40.066374166666655,-105.20609888888887&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
761,749,2589,40.05361916666666,-105.35964222222222,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=40.05361916666666,-105.35964222222222&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
762,750,2593,37.019189166666656,-103.88551916666668,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=37.019189166666656,-103.88551916666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
763,751,2595,39.47304166666667,-106.03251666666668,20,False,-1,-1,-1,-1,-1,"http://maps.googleapis.com/maps/api/staticmap?center=39.47304166666667,-106.03251666666668&zoom=20&size=640x640&sensor=False&maptype=satellite&key=APIKEY"
